"pid","location","totval","bedrooms","bathrooms","halfbaths"
545,"30 TOLLI TER","228100","3","2","0"
546,"20 TOLLI TER","221200","3","2","0"
547,"10 TOLLI TER","202600","3","2","0"
548,"4 TOLLI TER","172300","3","1","1"
549,"503 TOWNSEND AV","198300","4","1","1"
550,"STUYVESANT AV","63200","","",""
551,"21 STUYVESANT AV","191700","3","2","0"
552,"27 STUYVESANT AV","193900","3","2","1"
553,"33 STUYVESANT AV","153900","3","1","0"
554,"41 STUYVESANT AV","145500","2","1","0"
555,"45 STUYVESANT AV","241300","3","2","1"
556,"47 STUYVESANT AV","183700","3","1","1"
557,"53 STUYVESANT AV","166100","2","1","1"
558,"57 STUYVESANT AV","143400","2","1","0"
559,"61 STUYVESANT AV","204600","4","2","0"
560,"65 STUYVESANT AV","180500","2","1","0"
561,"71 STUYVESANT AV","202200","4","2","0"
562,"75 STUYVESANT AV","189800","3","1","1"
563,"87 STUYVESANT AV","213700","3","1","1"
564,"88 HYDE ST","247600","3","2","1"
565,"82 HYDE ST","142800","2","1","0"
566,"74 HYDE ST","203000","3","2","1"
567,"76 GIRARD AV","168300","3","2","0"
568,"70 GIRARD AV","162700","3","1","0"
569,"64 GIRARD AV","202100","3","1","0"
570,"56 GIRARD AV","184000","3","2","0"
571,"52 GIRARD AV","185100","3","1","0"
572,"48 GIRARD AV","166700","4","1","0"
