"pid","location","totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
18232,"676 ORCHARD ST",90100,5,0,3,0,"06/08/2015",0,"08/16/2013",93000,"07/11/2013",90000,"12/07/2012",0,"08/15/2003",1900,1760,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.13,"RM2","1600",0,41.31920695,-72.936775
18234,"670 ORCHARD ST",57600,3,0,1,99000,"05/21/2007",45000,"05/03/2004",55000,"07/18/1990",NA,NA,NA,NA,1900,768,78,"Colonial","Single Family","Below Average",1,"None","Average","Average",0.1,"RM2","1600",0,41.318928,-72.936935
18235,"666 ORCHARD ST",49900,2,0,1,0,"03/11/2015",0,"01/19/2011",0,"01/31/1997",0,"11/06/1995",0,"09/12/1995",1900,768,68,"Colonial","Single Family","Below Average",1,"None","Average","Average",0.08,"RM2","1600",0,41.31879937,-72.93711441
18236,"662 ORCHARD ST",55500,2,0,1,0,"09/16/2014",75000,"11/01/2011",0,"09/16/2011",0,"11/25/2009",38000,"02/22/2008",1900,768,78,"Colonial","Single Family","Below Average",1,"None","Average","Average",0.09,"RM2","1600",0,41.31861,-72.93717
18244,"219 COUNTY ST",107400,4,0,2,5000,"05/31/2000",55000,"03/17/1986",NA,NA,NA,NA,NA,NA,1900,2256,78,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.16,"RM2","1600",288,41.32163164,-72.9372461
18245,"223 COUNTY ST",80200,6,0,2,0,"10/31/1983",NA,NA,NA,NA,NA,NA,NA,NA,1900,2786,55,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.16,"RM2","1600",0,41.321722165,-72.93720904
18246,"227 COUNTY ST",94700,6,0,3,0,"05/20/2010",74000,"05/20/2010",0,"02/05/2010",0,"02/03/2004",0,"09/04/2003",1900,2996,55,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.16,"RM2","1600",0,41.32180378,-72.937179225
18247,"231 COUNTY ST",139200,6,0,3,0,"10/22/1985",NA,NA,NA,NA,NA,NA,NA,NA,1900,3858,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.19,"RM2","1600",432,41.3218839,-72.93714691
18248,"235 COUNTY ST",37700,4,0,2,0,"07/16/2012",41000,"03/25/2011",0,"12/20/2010",2e+05,"05/29/2007",0,"05/16/2005",1900,2140,17,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.17,"RM2","1600",0,41.32196868,-72.937114015
18249,"239 COUNTY ST",98200,4,0,2,45000,"10/13/1995",0,"11/22/1988",NA,NA,NA,NA,NA,NA,1900,2144,68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.17,"RM2","1600",0,41.322043555,-72.9370842
