"totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
202300,7,0,3,277000,"10/14/2003",130000,"11/06/1992",NA,NA,NA,NA,NA,NA,1900,3931,78,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.19,"RM2","2200",200,41.31559212,-72.94800757
140100,4,0,2,143000,"08/07/2002",130000,"08/21/1990",NA,NA,NA,NA,NA,NA,1905,2428,68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.09,"RM2","2200",0,41.3119137533333,-72.9506160366667
117200,2,0,2.5,118000,"10/02/1990",NA,NA,NA,NA,NA,NA,NA,NA,1986,1192,88,"Condominium","Res Condo","Ave/Good",1,"Central","Average","Average",0,"RM2","2500",0,41.32859235,-72.9635477866667
143400,9,1,4.5,0,"12/12/2011",0,NA,NA,NA,NA,NA,NA,NA,1984,3536,84,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1900",0,41.301838145,-72.93673484
237600,6,0,3,0,"01/17/2007",0,"01/17/2007",46200,"01/17/2007",117600,"01/17/2007",0,"01/17/2007",1920,3535,68,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.17,"RM1","2400",0,41.32246986,-72.963200325
117400,4,0,1,130000,"01/31/1989",NA,NA,NA,NA,NA,NA,NA,NA,1921,1577,55,"Bungalow","Single Family","Average",1,"None","Average","Average",0.17,"RM2","0600",0,41.29558835,-72.88825
176000,3,0,1.5,265000,"11/26/2008",282500,"06/02/2005",90000,"02/01/2000",0,"02/01/2000",0,"06/10/1993",1948,1410,68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.23,"RS2","0200",280,41.27754974,-72.89747004
131800,3,0,1,113500,"11/21/2000",0,"12/04/1969",NA,NA,NA,NA,NA,NA,1964,1156,72,"Ranch","Single Family","Average",1,"None","Average","Average",0.18,"RS2","0600",0,41.30414254,-72.87755
132800,5,0,4,0,"04/13/2012",241000,"06/18/2003",103000,"06/29/1998",0,"07/26/1985",NA,NA,1874,2394,68,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.06,"RM2","1800",0,41.31275875,-72.93463
134000,3,0,1.5,94000,"11/26/1986",NA,NA,NA,NA,NA,NA,NA,NA,1967,942,76,"Ranch","Single Family","Average",1,"Central","Average","Average",0.18,"RS2","2700",0,41.3337754466667,-72.9811441766667
115500,6,0,3,0,"07/15/2013",0,"02/05/2010",183000,"10/06/2004",130000,"10/02/2001",0,"01/17/2001",1910,3603,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.1,"RM2","1600",0,41.3343475,-72.92501072
170600,3,0,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,1112,72,"Split-Level","Single Family","Above Average",1,"None","Average","Average",0.15,"RS2","0101",0,41.2545937233333,-72.8941304
124100,8,0,3,0,"12/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,1900,3397,78,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.16,"RM2","2000",0,41.2962883,-72.93818319
106600,4,0,2,156250,"06/23/2015",80000,"07/29/2010",0,"01/28/2010",0,"12/24/2009",0,"12/10/2004",1900,2732,55,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.12,"RM2","1000",0,41.31691016,-72.8950311333333
104200,4,0,2,75200,"01/10/1985",NA,NA,NA,NA,NA,NA,NA,NA,1946,2122,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.14,"RM1","1600",896,41.334208715,-72.92701222
203500,5,0,3,1300000,"08/27/2013",0,"05/13/2005",0,"05/13/2005",0,"06/12/2002",0,"06/07/2002",1910,3946,68,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.09,"RM2","2500",0,41.32706,-72.9669929633333
335000,3,0,2.5,285000,"03/30/2015",385000,"06/07/2010",0,"10/16/2006",85000,"04/16/2004",51500,"11/25/2002",2009,1578,98,"Raised Ranch","Single Family","Very Good",1,"Central","Average","Average",0.24,"RS2","2900",720,41.3217234,-72.97843601
122200,3,0,1,164900,"10/22/2007",0,"10/22/2007",0,"07/16/1971",NA,NA,NA,NA,1942,1044,68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.17,"RS2","0600",228,41.30835141,-72.87582515
86900,6,0,2,0,"05/12/1997",12000,"01/04/1994",NA,NA,NA,NA,NA,NA,1900,2236,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.07,"RM1","1100",0,41.307926,-72.89240679
58300,1,0,1,69000,"05/05/2008",64010,"05/02/2008",0,"06/27/1997",0,"08/28/1996",94567,"10/05/1987",1987,760,88,"Condominium","Res Condo","Average",1,"Central","Average","Average",0,"RM2","2200",0,41.31890265,-72.94864
188300,5,0,3,150000,"09/08/2003",0,"08/18/1999",0,"07/21/1986",NA,NA,NA,NA,1917,3456,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.18,"RM2","2500",616,41.328403,-72.96854
101900,4,0,2,0,"01/30/2014",55000,"01/30/2014",0,"10/08/2013",0,"04/16/2002",0,"04/15/2002",1920,1564,68,"Colonial","Single Family","Average",1,"None","Average","Average",0.14,"RM1","1600",396,41.33208867,-72.9331684666667
248200,4,0,2.5,0,"11/12/1975",NA,NA,NA,NA,NA,NA,NA,NA,1878,2453,78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.42,"RS2","0101",300,41.25526,-72.89360181
141100,3,0,1,240000,"09/08/2006",170000,"02/02/2006",76500,"02/14/2002",0,"06/01/2001",0,"05/18/2001",1929,1389,78,"Colonial","Single Family","Average",1,"None","Average","Average",0.11,"RM1","2600",180,41.32963972,-72.9646553866667
303500,3,0,2.5,0,"07/13/2009",0,"08/16/1993",NA,NA,NA,NA,NA,NA,1936,2880,78,"Colonial","Single Family","Good",1,"None","Average","Average",0.27,"RS2","1700",540,41.3261184333333,-72.94316
129100,9,1,3,0,"09/01/2009",0,"12/01/1994",151500,"04/23/1993",NA,NA,NA,NA,1900,4203,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.11,"RM2","1900",440,41.302002,-72.93996
119200,4,0,1,0,"05/10/2012",60250,"05/10/2012",0,"02/10/2012",71500,"02/10/2012",90000,"10/01/1991",1943,1080,68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.11,"RS2","2700",0,41.33041878,-72.98253
122000,3,0,1,0,"03/10/2004",0,"03/10/2004",85000,"07/31/1990",NA,NA,NA,NA,1900,1512,78,"Colonial","Single Family","Average",1,"None","Average","Average",0.11,"RM1","1100",484,41.30764902,-72.8939327
140400,6,0,3,0,"02/14/2005",0,"12/05/1996",12000,"01/27/1995",82210,"06/06/1994",NA,NA,1900,3506,78,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.1,"RM2","1600",0,41.32635273,-72.93514
138100,6,0,3,0,"01/27/2009",162500,"12/29/2003",34000,"04/17/1978",NA,NA,NA,NA,1900,3222,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.08,"RM1","1000",0,41.31587445,-72.8924227333333
579000,6,0,3,250000,"12/04/2006",0,"05/03/1977",NA,NA,NA,NA,NA,NA,1918,4592,63,"3 Family","Multi-Fam 2-4","Good",3,"Central","Average","Average",0.19,"RM2","1300",324,41.31968,-72.91347129
484400,3,0,3,0,"08/14/2001",98564,"08/19/1998",0,"01/05/1993",NA,NA,NA,NA,1900,2761,78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.15,"RM1","1300",0,41.31939728,-72.91511
130700,3,0,1,0,"03/07/2000",70000,"12/01/1999",0,"09/23/1999",0,"05/23/1989",NA,NA,1946,1224,68,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.15,"RS2","0800",264,41.3300206866667,-72.86974712
162200,3,0,1.5,197000,"10/28/2005",0,"07/15/1999",66000,"04/14/1999",0,"06/15/1984",NA,NA,1900,1500,68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.1,"RM1","1000",220,41.31550812,-72.8875764166667
230900,6,0,3,328000,"06/01/2006",62500,"01/18/1994",0,"11/30/1992",57000,"09/14/1989",NA,NA,1920,3272,68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.15,"RM2","1650",0,41.320114,-72.9267519633333
203200,5,0,3,0,"10/01/2004",0,"06/19/1986",NA,NA,NA,NA,NA,NA,1920,2900,78,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.14,"RS2","0200",360,41.270595195,-72.89201
180300,4,0,2,125000,"11/19/2002",47000,"03/01/2002",0,"11/01/2001",0,"05/24/2001",119900,"10/12/1996",1916,3459,78,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.19,"RM1","2200",440,41.3174010366667,-72.95145
129800,2,0,2,0,"12/03/2010",0,"10/13/2010",0,"04/29/2004",0,"12/30/2002",0,"06/24/1971",1925,990,68,"Cottage","Single Family","Average",1,"None","Average","Average",0.11,"RS2","0101",0,41.2535811733333,-72.8960544
106700,3,0,1,94000,"01/22/2002",31000,"04/09/2001",0,"03/10/2000",0,"04/10/1996",0,"09/08/1995",1915,2187,68,"Colonial","Single Family","Average",1,"None","Average","Average",0.11,"RM1","1600",0,41.33433851,-72.93838916
260300,3,0,2,0,"01/24/1984",NA,NA,NA,NA,NA,NA,NA,NA,1928,2416,68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.19,"RS2","2400",0,41.3242183,-72.96831713
