"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",2,"3.0","8.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",2,"3.0","8.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",2,"3.0","9.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",2,"3.0","8.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",3,"3.3","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",3,"3.3","7.0","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",3,"3.3","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",3,"3.3","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",3,"3.3","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",3,"3.3","7.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",3,"3.3","7.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",4,"3.4","4.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",4,"3.4","4.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",4,"3.4","4.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",4,"3.4","4.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",4,"3.4","4.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",4,"3.4","5.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",4,"3.4","4.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",5,"3.1","8.0","RUIZ Rolando","CUB"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",5,"3.1","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",5,"3.1","8.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",5,"3.1","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",5,"3.1","8.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",5,"3.1","8.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",5,"3.1","8.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",6,"3.4","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",6,"3.4","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",6,"3.4","7.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",6,"3.4","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",6,"3.4","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",6,"3.4","7.5","CALDERON RODRIGUEZ Felix","PUR"
