"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,3,3.5,6.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,3,3.5,6.5,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,3,3.5,7,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,3,3.5,7,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,3,3.5,6.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,3,3.5,7,"ITO Masaaki","JPN"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,3,3.5,6.5,"MANZONI Renato","ITA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,4,3.4,7.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,4,3.4,8,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,4,3.4,8,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,4,3.4,8.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,4,3.4,8.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,4,3.4,8.5,"ITO Masaaki","JPN"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,4,3.4,8,"MANZONI Renato","ITA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,5,3.9,6,"BRUN Aristid","AUS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,5,3.9,5.5,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,5,3.9,6,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,5,3.9,6,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,5,3.9,7,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,5,3.9,6.5,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,5,3.9,6,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,6,3.8,8,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,6,3.8,8.5,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,6,3.8,8.5,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,6,3.8,9,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,6,3.8,9,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,6,3.8,8.5,"ITO Masaaki","JPN"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,6,3.8,9,"MANZONI Renato","ITA"
"M3mSB","Preliminary","KLEIN Sascha","GER",7,1,3.1,8,"BRUN Aristid","AUS"
